"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SSV_20160927T204304_20160927T204332_013243_01514E_A33A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13243","46","473","2016-09-27T20:43:32.773493Z","2016-09-27T20:43:04.846705Z","SLC","2016-09-27T20:43:04.846705Z","2016-09-27T20:43:32.773493Z","35.7637","139.7472","36.396908","141.324234","36.794106","138.533554","34.716347","140.924713","35.115299","138.194687","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160927T204304_20160927T204332_013243_01514E_A33A.zip","2463.8635301589966","None","None","0","S1A_IWSV_0476_0481_013243_046","","-2496","5"
"S1A_IW_SLC__1SSV_20160927T204240_20160927T204306_013243_01514E_16B3","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13243","46","468","2016-09-27T20:43:06.980372Z","2016-09-27T20:42:40.027918Z","SLC","2016-09-27T20:42:40.027918Z","2016-09-27T20:43:06.980372Z","37.2863","140.0815","37.890209","141.682724","38.285774","138.835541","36.269165","141.289383","36.666168","138.505203","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160927T204240_20160927T204306_013243_01514E_16B3.zip","2360.052366256714","None","None","0","S1A_IWSV_0471_0476_013243_046","","-2496","5"
"S1A_IW_SLC__1SSV_20160903T204303_20160903T204331_012893_0145F1_FC65","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12893","46","473","2016-09-03T20:43:31.829768Z","2016-09-03T20:43:03.902980Z","SLC","2016-09-03T20:43:03.902980Z","2016-09-03T20:43:31.829768Z","35.7637","139.7479","36.396893","141.324844","36.79406","138.534271","34.716324","140.925354","35.115246","138.195419","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160903T204303_20160903T204331_012893_0145F1_FC65.zip","2462.139048576355","None","None","0","S1A_IWSV_0475_0480_012893_046","","-2520","-75"
"S1A_IW_SLC__1SSV_20160903T204239_20160903T204306_012893_0145F1_C109","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12893","46","468","2016-09-03T20:43:06.032536Z","2016-09-03T20:42:39.082137Z","SLC","2016-09-03T20:42:39.082137Z","2016-09-03T20:43:06.032536Z","37.2865","140.0822","37.890331","141.683334","38.285862","138.836273","36.269398","141.290054","36.66637","138.505966","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160903T204239_20160903T204306_012893_0145F1_C109.zip","2358.8618450164795","None","None","0","S1A_IWSV_0470_0475_012893_046","","-2520","-117"
"S1A_IW_SLC__1SSV_20160810T204302_20160810T204330_012543_013A37_C384","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12543","46","473","2016-08-10T20:43:30.680861Z","2016-08-10T20:43:02.760239Z","SLC","2016-08-10T20:43:02.760239Z","2016-08-10T20:43:30.680861Z","35.7641","139.7482","36.397152","141.324982","36.794342","138.534607","34.716942","140.925537","35.115887","138.19577","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160810T204302_20160810T204330_012543_013A37_C384.zip","2446.6634950637817","None","None","0","S1A_IWSV_0473_0478_012543_046","","-2544","-139"
"S1A_IW_SLC__1SSV_20160810T204237_20160810T204304_012543_013A37_06D6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12543","46","468","2016-08-10T20:43:04.891851Z","2016-08-10T20:42:37.937341Z","SLC","2016-08-10T20:42:37.937341Z","2016-08-10T20:43:04.891851Z","37.2867","140.0824","37.890717","141.683563","38.286266","138.8367","36.269531","141.290161","36.666519","138.506302","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160810T204237_20160810T204304_012543_013A37_06D6.zip","2338.2722482681274","None","None","0","S1A_IWSV_0468_0473_012543_046","","-2544","-180"
"S1A_IW_SLC__1SSV_20160717T204301_20160717T204329_012193_012EAD_8FED","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12193","46","473","2016-07-17T20:43:29.475791Z","2016-07-17T20:43:01.551058Z","SLC","2016-07-17T20:43:01.551058Z","2016-07-17T20:43:29.475791Z","35.7637","139.7475","36.396839","141.324402","36.794014","138.533875","34.716389","140.924927","35.115318","138.195038","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160717T204301_20160717T204329_012193_012EAD_8FED.zip","2425.601198196411","None","None","0","S1A_IWSV_0473_0478_012193_046","","-2568","-40"
"S1A_IW_SLC__1SSV_20160717T204236_20160717T204303_012193_012EAD_21FD","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12193","46","468","2016-07-17T20:43:03.686781Z","2016-07-17T20:42:36.724049Z","SLC","2016-07-17T20:42:36.724049Z","2016-07-17T20:43:03.686781Z","37.2864","140.0817","37.890648","141.682983","38.28619","138.835907","36.26897","141.28952","36.665955","138.505447","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160717T204236_20160717T204303_012193_012EAD_21FD.zip","2327.643277168274","None","None","0","S1A_IWSV_0470_0475_012193_046","","-2568","-79"
"S1A_IW_SLC__1SSV_20160530T204258_20160530T204326_011493_011855_5C9C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","11493","46","473","2016-05-30T20:43:26.775719Z","2016-05-30T20:42:58.859209Z","SLC","2016-05-30T20:42:58.859209Z","2016-05-30T20:43:26.775719Z","35.7649","139.7474","36.397804","141.324203","36.794979","138.533768","34.717842","140.92482","35.116772","138.195007","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160530T204258_20160530T204326_011493_011855_5C9C.zip","2461.357283592224","None","None","0","S1A_IWSV_0474_0479_011493_046","","-2616","-71"
"S1A_IW_SLC__1SSV_20160530T204234_20160530T204300_011493_011855_9692","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","11493","46","468","2016-05-30T20:43:00.990821Z","2016-05-30T20:42:34.038367Z","SLC","2016-05-30T20:42:34.038367Z","2016-05-30T20:43:00.990821Z","37.2873","140.0816","37.891247","141.682724","38.286785","138.835785","36.270184","141.289383","36.667164","138.505432","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160530T204234_20160530T204300_011493_011855_9692.zip","2312.907943725586","None","None","0","S1A_IWSV_0469_0474_011493_046","","-2616","-76"
