Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,61,12
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,82,24
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,4,36
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,42,48
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,55,60
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,21,12
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,65,24
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,103,36
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,6,48
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,86,60
S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,86,12
S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,124,24
S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,27,36
S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,107,48
S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,20,60
S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,38,12
S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,59,24
S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,21,36
S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,66,48
S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,6,60
S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,97,12
S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,17,24
S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,104,36
S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,32,48
S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,37,60
S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,80,12
S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,7,24
S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,65,36
S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,134,48
S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,221,60
S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,87,12
S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,15,24
S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,54,36
S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,141,48
S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,34,60
S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,72,12
S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,141,24
S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,228,36
S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,121,48
S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150217T204232_20150217T204259_004668_005C34_B39F.zip,S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,59,60
S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,69,12
S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,156,24
S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,49,36
S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150301T204232_20150301T204259_004843_006075_8CE1.zip,S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,13,48
S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,87,12
S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,20,24
S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,82,36
S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150313T204233_20150313T204300_005018_0064AB_A33D.zip,S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,1,60
S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,107,12
S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,169,24
S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150325T204232_20150325T204259_005193_0068DB_87F7.zip,S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,88,48
S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,62,12
S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,19,36
S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150406T204244_20150406T204311_005368_006D03_A012.zip,S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD.zip,108,60
S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,81,24
S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150418T204233_20150418T204300_005543_007169_E35D.zip,S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD.zip,46,48
S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD.zip,127,24
S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150512T204235_20150512T204302_005893_00796F_70A7.zip,S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5.zip,190,48
S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD.zip,S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5.zip,63,24
S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150605T204236_20150605T204303_006243_0082A3_11FD.zip,S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193.zip,66,48
S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5.zip,S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193.zip,129,24
S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150629T204238_20150629T204305_006593_008C8C_87E5.zip,S1A_IW_SLC__1SSV_20150816T204240_20150816T204307_007293_00A009_AA94,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150816T204240_20150816T204307_007293_00A009_AA94.zip,129,48
S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150723T204238_20150723T204305_006943_00965B_1193.zip,S1A_IW_SLC__1SSV_20150816T204240_20150816T204307_007293_00A009_AA94,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150816T204240_20150816T204307_007293_00A009_AA94.zip,0,24
